#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
ACAN,COL1A1,9606.ENSP00000387356,9606.ENSP00000225964,0,0,0,0,0.064,0.045,0,0.831,0.835
ACAN,TNC,9606.ENSP00000387356,9606.ENSP00000265131,0,0,0,0,0.116,0.507,0.5,0.572,0.894
ACAN,LUM,9606.ENSP00000387356,9606.ENSP00000266718,0,0,0,0,0.048,0.29,0.5,0.791,0.92
ACAN,HAPLN1,9606.ENSP00000387356,9606.ENSP00000274341,0,0,0,0.853,0.187,0.101,0.7,0.925,0.981
ACAN,FBN1,9606.ENSP00000387356,9606.ENSP00000325527,0,0,0,0,0.074,0.101,0,0.414,0.47
ACAN,FBLN1,9606.ENSP00000387356,9606.ENSP00000331544,0,0,0,0,0.059,0.101,0,0.95,0.954
ACAN,PRELP,9606.ENSP00000387356,9606.ENSP00000343924,0,0,0,0,0.081,0.045,0.5,0.537,0.769
ACAN,FN1,9606.ENSP00000387356,9606.ENSP00000346839,0,0,0,0,0.06,0,0,0.994,0.994
ACAN,HLA-DRB1,9606.ENSP00000387356,9606.ENSP00000353099,0,0,0,0,0.044,0.439,0,0.493,0.704
ACAN,HSPG2,9606.ENSP00000387356,9606.ENSP00000363827,0,0,0,0,0.063,0,0,0.889,0.891
ACAN,OGN,9606.ENSP00000387356,9606.ENSP00000364711,0,0,0,0,0.042,0.045,0.5,0.448,0.714
ACAN,SPP1,9606.ENSP00000387356,9606.ENSP00000378517,0,0,0,0,0,0,0,0.736,0.736
ACAN,FBLN2,9606.ENSP00000387356,9606.ENSP00000384169,0,0,0,0,0.064,0.336,0,0.898,0.931
ACTBL2,ARPC2,9606.ENSP00000416706,9606.ENSP00000295685,0,0,0,0,0.074,0.252,0,0.214,0.408
ACTBL2,ARPC5L,9606.ENSP00000416706,9606.ENSP00000345361,0,0,0,0,0.042,0.281,0,0.215,0.412
ACTBL2,ANP32B,9606.ENSP00000416706,9606.ENSP00000345848,0,0,0,0,0.051,0,0,0.401,0.407
ACTBL2,YWHAB,9606.ENSP00000416706,9606.ENSP00000361930,0,0,0.264,0,0.098,0.068,0,0.204,0.442
ACTBL2,YWHAZ,9606.ENSP00000416706,9606.ENSP00000379287,0,0,0.253,0,0.148,0.068,0,0.177,0.447
ACTBL2,ARPC4,9606.ENSP00000416706,9606.ENSP00000388169,0,0,0,0,0.109,0.302,0,0.12,0.404
ACTBL2,CFL1,9606.ENSP00000416706,9606.ENSP00000432660,0,0,0,0,0.087,0.498,0,0.121,0.562
ACTR3,DSTN,9606.ENSP00000263238,9606.ENSP00000246069,0,0,0,0,0.151,0.24,0,0.376,0.563
ACTR3,YWHAZ,9606.ENSP00000263238,9606.ENSP00000379287,0,0,0,0,0.267,0.068,0,0.283,0.468
ACTR3,PAK2,9606.ENSP00000263238,9606.ENSP00000314067,0,0,0,0,0.265,0.071,0,0.36,0.525
ACTR3,YWHAB,9606.ENSP00000263238,9606.ENSP00000361930,0,0,0,0,0.268,0.208,0,0.259,0.534
ACTR3,RHOC,9606.ENSP00000263238,9606.ENSP00000285735,0,0,0,0,0.451,0.07,0,0.16,0.534
