#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
ACVRL1,VEGFR2,9606.ENSP00000373574,9606.ENSP00000263923,0,0,0,0,0.103,0.122,0,0.426,0.508
ACVRL1,NOTCH1,9606.ENSP00000373574,9606.ENSP00000277541,0,0,0,0,0.062,0.08,0,0.371,0.41
ACVRL1,SMAD3,9606.ENSP00000373574,9606.ENSP00000332973,0,0,0,0,0.06,0.107,0,0.501,0.545
ACVRL1,SMAD4,9606.ENSP00000373574,9606.ENSP00000341551,0,0,0,0,0,0.107,0,0.735,0.754
ACVRL1,CD31,9606.ENSP00000373574,9606.ENSP00000457421,0,0,0,0,0.123,0.056,0,0.337,0.403
ACVRL1,SMAD1,9606.ENSP00000373574,9606.ENSP00000426568,0,0,0,0,0,0.32,0.9,0.761,0.982
ADAR1,COG3,9606.ENSP00000357459,9606.ENSP00000258654,0,0,0,0,0,0,0,0.502,0.502
ADAR1,P53,9606.ENSP00000357459,9606.ENSP00000269305,0,0,0,0,0.056,0,0,0.491,0.499
ADAR1,DVL3,9606.ENSP00000357459,9606.ENSP00000316054,0,0,0,0,0,0,0,0.642,0.642
AKT,ERCC1,9606.ENSP00000451828,9606.ENSP00000013807,0,0,0,0,0.064,0,0,0.406,0.42
AKT,TIGAR,9606.ENSP00000451828,9606.ENSP00000179259,0,0,0,0,0,0,0,0.458,0.458
AKT,ERK2,9606.ENSP00000451828,9606.ENSP00000215832,0,0,0.304,0.592,0.068,0.148,0.8,0.795,0.895
AKT,XBP1,9606.ENSP00000451828,9606.ENSP00000216037,0,0,0,0,0,0.058,0,0.628,0.635
AKT,TUBERIN,9606.ENSP00000451828,9606.ENSP00000219476,0,0,0,0,0.062,0.516,0.9,0.94,0.996
AKT,PAI1,9606.ENSP00000451828,9606.ENSP00000223095,0,0,0,0,0,0,0,0.619,0.619
AKT,P70S6K1,9606.ENSP00000451828,9606.ENSP00000225577,0,0,0.383,0.856,0.183,0.764,0.9,0.938,0.982
AKT,GAPDH,9606.ENSP00000451828,9606.ENSP00000229239,0,0,0,0,0.046,0.349,0,0.871,0.913
AKT,MSH2,9606.ENSP00000451828,9606.ENSP00000233146,0,0,0,0,0.049,0.413,0,0.39,0.629
AKT,IGFBP2,9606.ENSP00000451828,9606.ENSP00000233809,0,0,0,0,0,0,0,0.47,0.47
AKT,DUSP4,9606.ENSP00000451828,9606.ENSP00000240100,0,0,0,0,0.057,0.111,0,0.344,0.402
AKT,CRAF,9606.ENSP00000451828,9606.ENSP00000251849,0,0,0,0.581,0,0.88,0.9,0.914,0.992
AKT,SF2,9606.ENSP00000451828,9606.ENSP00000258962,0,0,0,0,0.06,0.056,0,0.392,0.413
AKT,RAB11,9606.ENSP00000451828,9606.ENSP00000261890,0,0,0,0,0.082,0.14,0,0.544,0.609
AKT,EEF2K,9606.ENSP00000451828,9606.ENSP00000263026,0,0,0,0,0,0,0,0.408,0.408
AKT,BRD4,9606.ENSP00000451828,9606.ENSP00000263377,0,0,0,0,0.062,0.12,0,0.422,0.481
AKT,VEGFR2,9606.ENSP00000451828,9606.ENSP00000263923,0,0,0,0.555,0,0.122,0,0.823,0.441
AKT,HER3,9606.ENSP00000451828,9606.ENSP00000267101,0,0,0,0,0,0.32,0.9,0.845,0.988
AKT,PAXILLIN,9606.ENSP00000451828,9606.ENSP00000267257,0,0,0,0,0.083,0.063,0,0.874,0.883
AKT,BCL2A1,9606.ENSP00000451828,9606.ENSP00000267953,0,0,0,0,0,0.069,0,0.504,0.518
AKT,P53,9606.ENSP00000451828,9606.ENSP00000269305,0,0,0,0,0.053,0.201,0.9,0.877,0.989
AKT,HER2,9606.ENSP00000451828,9606.ENSP00000269571,0,0,0,0.556,0.053,0.188,0,0.898,0.516
AKT,EGFR,9606.ENSP00000451828,9606.ENSP00000275493,0,0,0,0.554,0,0.65,0,0.926,0.794
AKT,NOTCH1,9606.ENSP00000451828,9606.ENSP00000277541,0,0,0,0,0.077,0.491,0,0.852,0.924
AKT,ATM,9606.ENSP00000451828,9606.ENSP00000278616,0,0,0,0,0,0.056,0,0.741,0.745
AKT,PDCD4,9606.ENSP00000451828,9606.ENSP00000280154,0,0,0,0,0,0,0,0.635,0.635
AKT,BRAF,9606.ENSP00000451828,9606.ENSP00000288602,0,0,0,0.584,0,0.744,0,0.636,0.81
AKT,BAX,9606.ENSP00000451828,9606.ENSP00000293288,0,0,0,0,0.061,0.27,0,0.682,0.763
AKT,CD49B,9606.ENSP00000451828,9606.ENSP00000296585,0,0,0,0,0,0.075,0,0.454,0.473
AKT,RICTOR,9606.ENSP00000451828,9606.ENSP00000296782,0,0,0,0,0.062,0.893,0.9,0.897,0.998
AKT,TSC1,9606.ENSP00000451828,9606.ENSP00000298552,0,0,0,0,0.06,0.715,0.9,0.916,0.997
AKT,MEK1,9606.ENSP00000451828,9606.ENSP00000302486,0,0,0.348,0.636,0.062,0.178,0,0.876,0.514
AKT,BCLXL,9606.ENSP00000451828,9606.ENSP00000302564,0,0,0,0,0.065,0.27,0.9,0.982,0.998
AKT,HSP70,9606.ENSP00000451828,9606.ENSP00000302961,0,0,0,0,0,0.333,0,0.825,0.879
AKT,FASN,9606.ENSP00000451828,9606.ENSP00000304592,0,0,0,0,0.088,0.128,0,0.629,0.679
AKT,IRS1,9606.ENSP00000451828,9606.ENSP00000304895,0,0,0,0,0.062,0.535,0,0.917,0.96
AKT,RAPTOR,9606.ENSP00000451828,9606.ENSP00000307272,0,0,0,0,0.098,0.289,0.9,0.923,0.994
AKT,EEF2,9606.ENSP00000451828,9606.ENSP00000307940,0,0,0,0,0.099,0.135,0,0.588,0.651
AKT,DVL3,9606.ENSP00000451828,9606.ENSP00000316054,0,0,0,0,0.07,0.142,0,0.36,0.445
AKT,ARID1A,9606.ENSP00000451828,9606.ENSP00000320485,0,0,0,0,0,0.07,0,0.517,0.531
AKT,LKB1,9606.ENSP00000451828,9606.ENSP00000324856,0,0,0.325,0.631,0.104,0.298,0,0.807,0.588
AKT,SMAD3,9606.ENSP00000451828,9606.ENSP00000332973,0,0,0,0,0.062,0.657,0,0.989,0.996
AKT,LCK,9606.ENSP00000451828,9606.ENSP00000337825,0,0,0.371,0.558,0.049,0,0.9,0.653,0.939
AKT,SMAD4,9606.ENSP00000451828,9606.ENSP00000341551,0,0,0,0,0.062,0.701,0,0.769,0.929
AKT,FOXM1,9606.ENSP00000451828,9606.ENSP00000342307,0,0,0,0,0.062,0.151,0,0.608,0.661
AKT,NF2,9606.ENSP00000451828,9606.ENSP00000344666,0,0,0,0,0.046,0.688,0,0.609,0.873
AKT,FIBRONECTIN,9606.ENSP00000451828,9606.ENSP00000346839,0,0,0,0,0.051,0,0,0.776,0.778
AKT,TFRC,9606.ENSP00000451828,9606.ENSP00000353224,0,0,0,0,0.062,0.059,0,0.52,0.539
AKT,CD26,9606.ENSP00000451828,9606.ENSP00000353731,0,0,0,0,0.073,0,0,0.534,0.549
AKT,RAB25,9606.ENSP00000451828,9606.ENSP00000354376,0,0,0,0,0.066,0.14,0,0.686,0.726
AKT,MTOR,9606.ENSP00000451828,9606.ENSP00000354558,0,0,0,0,0.081,0.904,0.9,0.991,0.999
AKT,GAB2,9606.ENSP00000451828,9606.ENSP00000354952,0,0,0,0,0.065,0.27,0.9,0.561,0.966
AKT,BECLIN,9606.ENSP00000451828,9606.ENSP00000355231,0,0,0,0,0,0.69,0,0.928,0.977
AKT,PEA15,9606.ENSP00000451828,9606.ENSP00000357055,0,0,0,0,0,0.231,0,0.39,0.51
AKT,NRAS,9606.ENSP00000451828,9606.ENSP00000358548,0,0,0,0,0,0.218,0,0.735,0.784
AKT,SCD1,9606.ENSP00000451828,9606.ENSP00000359380,0,0,0,0,0.065,0.056,0,0.482,0.503
AKT,PREX1,9606.ENSP00000451828,9606.ENSP00000361009,0,0,0,0,0,0.311,0,0.566,0.688
AKT,PTEN,9606.ENSP00000451828,9606.ENSP00000361021,0,0,0,0,0.062,0.852,0,0.952,0.992
AKT,YB1,9606.ENSP00000451828,9606.ENSP00000361626,0,0,0,0,0,0.495,0,0.594,0.786
AKT,SRC,9606.ENSP00000451828,9606.ENSP00000362680,0,0,0.391,0.562,0.098,0.683,0.9,0.986,0.985
AKT,BAK,9606.ENSP00000451828,9606.ENSP00000363591,0,0,0,0,0.085,0,0,0.5,0.524
AKT,AR,9606.ENSP00000451828,9606.ENSP00000363822,0,0,0,0,0,0.87,0,0.847,0.979
AKT,MIG6,9606.ENSP00000451828,9606.ENSP00000366702,0,0,0,0,0,0.057,0,0.483,0.491
AKT,GATA3,9606.ENSP00000451828,9606.ENSP00000368632,0,0,0,0,0.062,0.139,0,0.511,0.57
AKT,RAD51,9606.ENSP00000451828,9606.ENSP00000372088,0,0,0,0,0.063,0.078,0,0.456,0.488
AKT,PDK1,9606.ENSP00000451828,9606.ENSP00000376352,0,0,0,0,0.065,0.549,0,0.539,0.788
AKT,ETS1,9606.ENSP00000451828,9606.ENSP00000376436,0,0,0,0,0,0.06,0,0.495,0.505
AKT,BIM,9606.ENSP00000451828,9606.ENSP00000376943,0,0,0,0,0,0.282,0,0.762,0.822
AKT,G6PD,9606.ENSP00000451828,9606.ENSP00000377192,0,0,0,0,0.087,0,0,0.46,0.486
AKT,CDK1,9606.ENSP00000451828,9606.ENSP00000378699,0,0,0.355,0.639,0.062,0.061,0,0.74,0.403
AKT,BCL2,9606.ENSP00000451828,9606.ENSP00000381185,0,0,0,0,0.062,0,0.9,0.457,0.944
AKT,HEREGULIN,9606.ENSP00000451828,9606.ENSP00000384620,0,0,0,0,0,0,0,0.639,0.639
AKT,FOXO3A,9606.ENSP00000451828,9606.ENSP00000385824,0,0,0,0,0.055,0.939,0.9,0.972,0.999
AKT,CHK1,9606.ENSP00000451828,9606.ENSP00000388648,0,0,0.241,0.594,0,0.336,0,0.643,0.547
AKT,JNK2,9606.ENSP00000451828,9606.ENSP00000394560,0,0,0.41,0.577,0.083,0.315,0,0.668,0.603
AKT,SMAC,9606.ENSP00000451828,9606.ENSP00000398495,0,0,0,0,0,0.058,0,0.559,0.566
AKT,STATHMIN,9606.ENSP00000451828,9606.ENSP00000410452,0,0,0,0,0.062,0.056,0,0.55,0.567
AKT,EIF4G,9606.ENSP00000451828,9606.ENSP00000416255,0,0,0,0,0.089,0.067,0,0.619,0.648
AKT,DJ1,9606.ENSP00000451828,9606.ENSP00000418770,0,0,0,0,0,0.132,0,0.518,0.563
AKT,INPP4B,9606.ENSP00000451828,9606.ENSP00000425487,0,0,0,0,0.049,0,0,0.582,0.586
AKT,EIF4E,9606.ENSP00000451828,9606.ENSP00000425561,0,0,0,0,0,0.1,0,0.815,0.827
AKT,SMAD1,9606.ENSP00000451828,9606.ENSP00000426568,0,0,0,0,0.062,0.107,0,0.376,0.431
AKT,CD31,9606.ENSP00000451828,9606.ENSP00000457421,0,0,0,0,0,0.056,0,0.689,0.694
AR,ERK2,9606.ENSP00000363822,9606.ENSP00000215832,0,0,0,0,0,0.497,0,0.324,0.645
AR,P27,9606.ENSP00000363822,9606.ENSP00000221114,0,0,0,0,0,0,0.9,0,0.9
AR,P70S6K1,9606.ENSP00000363822,9606.ENSP00000225577,0,0,0,0,0,0.068,0,0.414,0.43
AR,GAPDH,9606.ENSP00000363822,9606.ENSP00000229239,0,0,0,0,0,0.281,0,0.803,0.852
AR,CRAF,9606.ENSP00000363822,9606.ENSP00000251849,0,0,0,0,0,0.316,0,0.488,0.635
AR,PRDX1,9606.ENSP00000363822,9606.ENSP00000262746,0,0,0,0,0,0.282,0.9,0.638,0.971
AR,BRD4,9606.ENSP00000363822,9606.ENSP00000263377,0,0,0,0,0,0.644,0,0.984,0.994
AR,HER3,9606.ENSP00000363822,9606.ENSP00000267101,0,0,0,0,0.062,0.316,0,0.631,0.743
AR,PAXILLIN,9606.ENSP00000363822,9606.ENSP00000267257,0,0,0,0,0,0.262,0,0.828,0.868
AR,P53,9606.ENSP00000363822,9606.ENSP00000269305,0,0,0,0,0,0.474,0,0.776,0.877
AR,HER2,9606.ENSP00000363822,9606.ENSP00000269571,0,0,0,0,0.067,0.102,0,0.752,0.774
AR,EGFR,9606.ENSP00000363822,9606.ENSP00000275493,0,0,0,0,0.063,0.698,0,0.966,0.989
AR,NOTCH1,9606.ENSP00000363822,9606.ENSP00000277541,0,0,0,0,0,0.058,0,0.682,0.688
AR,ATM,9606.ENSP00000363822,9606.ENSP00000278616,0,0,0,0,0,0,0,0.492,0.491
AR,ARAF,9606.ENSP00000363822,9606.ENSP00000290277,0,0,0,0,0,0.102,0,0.838,0.848
AR,BCLXL,9606.ENSP00000363822,9606.ENSP00000302564,0,0,0,0,0,0.057,0,0.494,0.502
AR,HSP70,9606.ENSP00000363822,9606.ENSP00000302961,0,0,0,0,0,0.288,0,0.962,0.972
AR,FASN,9606.ENSP00000363822,9606.ENSP00000304592,0,0,0,0,0,0,0,0.42,0.42
AR,IRS1,9606.ENSP00000363822,9606.ENSP00000304895,0,0,0,0,0.065,0,0,0.767,0.773
AR,ARID1A,9606.ENSP00000363822,9606.ENSP00000320485,0,0,0,0,0,0.215,0,0.416,0.522
AR,SMAD3,9606.ENSP00000363822,9606.ENSP00000332973,0,0,0,0,0,0.684,0.9,0.96,0.998
AR,SMAD4,9606.ENSP00000363822,9606.ENSP00000341551,0,0,0,0,0,0.291,0.9,0.937,0.995
AR,FIBRONECTIN,9606.ENSP00000363822,9606.ENSP00000346839,0,0,0,0,0.061,0,0,0.391,0.403
AR,MTOR,9606.ENSP00000363822,9606.ENSP00000354558,0,0,0,0,0,0.061,0,0.556,0.565
AR,BECLIN,9606.ENSP00000363822,9606.ENSP00000355231,0,0,0,0,0,0.27,0,0.851,0.887
AR,PTEN,9606.ENSP00000363822,9606.ENSP00000361021,0,0,0,0,0,0.282,0,0.861,0.896
AR,SRC,9606.ENSP00000363822,9606.ENSP00000362680,0,0,0,0,0,0.839,0.9,0.989,0.999
AR,GATA3,9606.ENSP00000363822,9606.ENSP00000368632,0,0,0,0,0,0.07,0,0.438,0.455
AR,KU80,9606.ENSP00000363822,9606.ENSP00000375978,0,0,0,0,0,0.27,0,0.457,0.587
AR,DJ1,9606.ENSP00000363822,9606.ENSP00000418770,0,0,0,0,0,0.27,0,0.472,0.598
AR,FOXO3A,9606.ENSP00000363822,9606.ENSP00000385824,0,0,0,0,0,0.398,0,0.462,0.663
AR,SMAD1,9606.ENSP00000363822,9606.ENSP00000426568,0,0,0,0,0,0.501,0,0.394,0.685
AR,CDK1,9606.ENSP00000363822,9606.ENSP00000378699,0,0,0,0,0,0.226,0,0.819,0.854
AR,ETS1,9606.ENSP00000363822,9606.ENSP00000376436,0,0,0,0,0,0.468,0,0.737,0.854
AR,AKT,9606.ENSP00000363822,9606.ENSP00000451828,0,0,0,0,0,0.87,0,0.847,0.979
ARAF,ERK2,9606.ENSP00000290277,9606.ENSP00000215832,0,0,0,0.592,0.066,0.401,0.6,0.649,0.819
ARAF,TUBERIN,9606.ENSP00000290277,9606.ENSP00000219476,0,0,0,0,0.066,0.058,0,0.402,0.428
ARAF,CRAF,9606.ENSP00000290277,9606.ENSP00000251849,0,0,0,0.96,0.063,0.61,0.8,0.957,0.923
ARAF,P53,9606.ENSP00000290277,9606.ENSP00000269305,0,0,0,0,0,0.19,0,0.421,0.511
ARAF,EGFR,9606.ENSP00000290277,9606.ENSP00000275493,0,0,0,0.581,0,0.194,0,0.716,0.431
